ID;Quantidade;Unidade;Gênero Alimentício;Custo Unitário;Custo Total
435;5.094;kg;PIMENTÃO VERDE;R$4,34;R$22.107,96
436;9.867;kg;REPOLHO VERDE;R$2,75;R$27.134,25
437;9.867;kg;REPOLHO ROXO;R$3,21;R$31.673,07
438;2.133;kg;SALSA;R$12,53;R$26.726,49
439;43.764;kg;TANGERINA PONKAN;R$3,55;R$155.362,20
440;8.218;kg;TOMATE;R$3,61;R$29.666,98
441;738;kg;VAGEM;R$7,20;R$5.313,60
442;137.869;kg;BANANA PRATA;R$2,84;R$391.547,96
443;2.803;kg;ABACATE;R$4,99;R$13.986,97
444;16.972;kg;ABÓBORA JAPONESA;R$2,61;R$44.296,92
445;442;kg;ABOBRINHA ITALIANA;R$3,40;R$1.502,80
446;1.971;kg;ACELGA;R$5,01;R$9.874,71
447;496;kg;ALFACE AMERICANA;R$6,33;R$3.139,68
448;3.353;kg;ALHO;R$15,52;R$52.038,56
449;19.162;kg;BATATA DOCE;R$2,59;R$49.629,58
450;12.955;kg;BETERRABA;R$3,07;R$39.771,85
451;405;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$2.551,50
452;16.760;kg;CEBOLA;R$2,85;R$47.766,00
453;3.345;kg;CEBOLINHA COMUM;R$11,71;R$39.169,95
454;13.404;kg;CENOURA;R$2,51;R$33.644,04
455;1.581;kg;CHUCHU;R$3,07;R$4.853,67
456;1.609;kg;COENTRO;R$9,33;R$15.011,97
457;532;kg;COUVE-FLOR;R$6,53;R$3.473,96
458;6.441;kg;COUVE MANTEIGA;R$5,88;R$37.873,08
459;488;kg;ESPINAFRE;R$6,00;R$2.928,00
460;12.725;kg;GOIABA;R$3,15;R$40.083,75
461;359;kg;HORTELÃ;R$10,20;R$3.661,80
462;1.465;kg;INHAME;R$4,54;R$6.651,10
463;4.006;kg;LIMÃO TAHITI;R$3,49;R$13.980,94
464;802;kg;MANJERICÃO;R$16,00;R$12.832,00
465;2.811;kg;MARACUJÁ;R$6,00;R$16.866,00
466;2.644;kg;MILHO VERDE;R$4,50;R$11.898,00
467;9.568;kg;MORANGO;R$12,50;R$119.600,00
468;4.657;kg;PEPINO COMUM;R$3,05;R$14.203,85
469;2.294;kg;PIMENTÃO VERDE;R$4,34;R$9.955,96
470;4.450;kg;REPOLHO VERDE;R$2,75;R$12.237,50
471;4.450;kg;REPOLHO ROXO;R$3,21;R$14.284,50
472;942;kg;SALSA;R$12,53;R$11.803,26
473;20.322;kg;TANGERINA PONKAN;R$3,55;R$72.143,10
474;3.699;kg;TOMATE;R$3,61;R$13.353,39
475;399;kg;VAGEM;R$7,20;R$2.872,80
476;61.164;kg;BANANA PRATA;R$2,84;R$173.705,76
